_city,_state,_lat,_lon,_school_content,_type_value,_accreditation_content,_county,_street_address
Charlottesville,Virginia,38.052048,-78.509474,The Judge Advocate General's Legal Center and School,Public,Full ABA,Charlottesville city,"600 Massie Rd, Charlottesville, VA 22903"
Charlottesville,Virginia,38.053275,-78.509263,University of Virginia School of Law,Public,Full ABA,Charlottesville city,"580 Massie Rd, Charlottesville, VA 22903"
Louisville,Kentucky,38.254238,-85.759407,"Louis D. Brandeis School of Law, University of Louisville",Public,Full ABA,Jefferson County,
Davis,California,38.545379,-121.744583,"University of California, Davis School of Law (King Hall)",Public,Full ABA,Yolo County,
Sacramento,California,38.549274,-121.472949,"McGeorge School of Law, University of the Pacific",Private,Full ABA,Sacramento County,"3200 5th Ave, Sacramento, CA 95817"
St. Louis,Missouri,38.637332,-90.194652,Saint Louis University School of Law,Private,Full ABA,St. Louis city,"100 N Tucker Blvd, St. Louis, MO 63101"
St. Louis,Missouri,38.647128,-90.302661,Washington University School of Law,Private,Full ABA,St. Louis County,"1 Brookings Dr, St. Louis, MO 63130"
Ada,Ohio,38.839894,-83.50517,"Ohio Northern University, Pettit College of Law",Private,Full ABA,Adams County,
Arlington,Virginia,38.890396,-77.084158,George Mason University School of Law,Public,Full ABA,Arlington County,
Washington,District of Columbia,38.897833,-77.012599,Georgetown University Law Center,Private,Full ABA,District of Columbia,"600 New Jersey Ave NW, Washington, DC 20001"
Washington,District of Columbia,38.899384,-77.045247,The George Washington University Law School,Private,Full ABA,District of Columbia,"2000 H St NW, Washington, DC 20052"
Washington,District of Columbia,38.942721,-77.059603,Howard University School of Law,Private,Full ABA,District of Columbia,"2900 Van Ness St NW, Washington, DC 20008"
Washington,District of Columbia,38.945867,-77.079738,"Washington College of Law, American University",Private,Full ABA,District of Columbia,"4300 Nebraska Ave NW, Washington, DC 20016"
Washington,District of Columbia,38.946225,-77.065201,"David A. Clarke School of Law, University of the District of Columbia",Public,Full ABA,District of Columbia,"4340 Connecticut Ave NW, Washington, DC 20008"
Columbia,Missouri,38.951883,-92.333737,University of Missouri School of Law,Public,Full ABA,Boone County,
Lawrence,Kansas,38.971938,-95.23595,University of Kansas School of Law,Public,Full ABA,Douglas County,
Highland Heights,Kentucky,39.03309,-84.452151,"Salmon P. Chase College of Law, Northern Kentucky University",Public,Full ABA,Campbell County,
