geo_id,tot_pop
0500000US19111,35857
0500000US19113,211501
0500000US19115,11375
0500000US19117,8885
0500000US19119,11578
0500000US19121,15732
0500000US19123,22376
0500000US19125,33234
0500000US19127,40746
0500000US19129,15061
0500000US19131,10781
0500000US19133,9231
0500000US19135,7974
0500000US19137,10718
0500000US19139,42738
0500000US19141,14374
0500000US19143,6439
0500000US19145,15922
0500000US19147,9383
0500000US19149,24995
0500000US19151,7278
0500000US19153,432260
0500000US19155,93359
0500000US19157,18885
0500000US19159,5129
0500000US19161,10346
0500000US19163,165841
0500000US19165,12160
0500000US19167,33705
0500000US19169,89575
0500000US19171,17730
0500000US19173,6303
0500000US19175,12528
0500000US19177,7548
0500000US19179,35667
0500000US19181,46308
0500000US19183,21693
0500000US19185,6402
0500000US19187,37915
0500000US19189,10841
0500000US19191,21059
0500000US19193,102407
0500000US19195,7594
0500000US19197,13202
0500000US20001,13354
0500000US20003,8097
0500000US20005,16894
0500000US20007,4844
0500000US20009,27705
0500000US20011,15172
0500000US20013,9988
0500000US20015,65923
0500000US20017,2794
0500000US20019,3660
0500000US20021,21569
0500000US20023,2720
0500000US20025,2201
0500000US20027,8553
0500000US20029,9518
0500000US20031,8610
0500000US20033,1895
0500000US20035,36285
0500000US20037,39185
0500000US20039,2952
0500000US20041,19739
0500000US20043,7950
0500000US20045,111130
0500000US20047,3049
0500000US20049,2872
0500000US20051,28467
0500000US20053,6511
0500000US20055,37013
0500000US20057,34094
0500000US20059,26035
0500000US20061,35212
0500000US20063,2691
0500000US20065,2595
0500000US20067,7852
0500000US20069,6037
0500000US20071,1259
0500000US20073,6677
0500000US20075,2694
0500000US20077,6028
0500000US20079,34726
0500000US20081,4274
0500000US20083,1912
0500000US20085,13492
0500000US20087,19132
0500000US20089,3075
0500000US20091,545876
0500000US20093,3998
0500000US20095,7840
0500000US20097,2570
0500000US20099,21555
0500000US20101,1740
0500000US20103,76504
0500000US20105,3235
0500000US20107,9640
0500000US20109,2758
0500000US20111,33654
0500000US20113,29151
0500000US20115,12642
0500000US20117,10117
0500000US20119,4596
0500000US20121,32860
0500000US20123,6354
0500000US20125,35390
0500000US20127,5913
0500000US20129,3228
0500000US20131,10173
0500000US20133,16480
0500000US20135,3104
0500000US20137,5674
0500000US20139,16291
0500000US20141,3838
0500000US20143,6077
0500000US20145,6962
0500000US20147,5638
0500000US20149,21701
0500000US20151,9641
0500000US20153,2504
0500000US20155,64597
0500000US20157,4952
0500000US20159,10089
0500000US20161,71481
0500000US20163,5174
0500000US20165,3322
0500000US20167,6990
0500000US20169,55733
0500000US20171,4967
0500000US20173,499393
0500000US20175,23036
0500000US20177,178301
0500000US20179,2545
0500000US20181,6006
0500000US20183,3851
0500000US20185,4440
0500000US20187,2253
0500000US20189,5755
0500000US20191,24104
0500000US20193,7938
0500000US20195,3003
0500000US20197,7043
0500000US20199,1490
0500000US20201,5799
0500000US20203,2237
0500000US20205,9383
0500000US20207,3303
0500000US20209,157845
0500000US21001,18614
0500000US21003,19980
0500000US21005,21465
0500000US21007,8263
0500000US21009,42164
0500000US21011,11607
0500000US21013,28706
0500000US21015,119290
0500000US21017,19964
0500000US21019,49580
0500000US21021,28497
0500000US21023,8499
0500000US21025,13875
0500000US21027,20060
0500000US21029,74473
0500000US21031,12714
0500000US21033,12978
0500000US21035,37281
0500000US21037,90532
0500000US21039,5102
0500000US21041,10794
0500000US21043,27675
0500000US21045,15972
0500000US21047,74179
0500000US21049,35634
0500000US21051,21698
0500000US21053,10262
0500000US21055,9313
0500000US21057,6850
0500000US21059,96762
0500000US21061,12171
0500000US21063,7895
0500000US21065,14678
0500000US21067,296765
0500000US21069,14381
0500000US21071,39446
0500000US21073,49288
0500000US21075,6821
0500000US21077,8597
0500000US21079,16920
0500000US21081,24671
0500000US21083,37205
0500000US21085,25785
0500000US21087,11226
0500000US21089,36885
0500000US21091,8570
0500000US21093,106933
0500000US21095,29232
0500000US21097,18828
0500000US21099,18206
0500000US21101,46302
0500000US21103,15389
0500000US21105,4885
0500000US21107,46899
0500000US21109,13503
0500000US21111,742172
0500000US21113,48716
0500000US21115,23415
0500000US21117,159876
0500000US21119,16298
0500000US21121,31893
0500000US21123,14185
0500000US21125,58944
0500000US21127,15868
0500000US21129,7874
0500000US21131,11299
0500000US21133,24551
