geo_id,state_code,county_code,county_name,cbp_small_biz_count,crunchbase_count,state_abbv,2013_pop_est
0500000US06025,6,25,Imperial County,2414,0,CA,176584
0500000US48209,48,209,Hays County,3540,18,TX,176026
0500000US12005,12,5,Bay County,4375,7,FL,174987
0500000US39103,39,103,Medina County,3988,10,OH,174915
0500000US17113,17,113,McLean County,3719,2,IL,174647
0500000US12053,12,53,Hernando County,2981,2,FL,174441
0500000US37147,37,147,Pitt County,3517,8,NC,174263
0500000US45013,45,13,Beaufort County,4798,9,SC,171838
0500000US26121,26,121,Muskegon County,3127,4,MI,171008
0500000US29019,29,19,Boone County,4435,26,MO,170773
0500000US19163,19,163,Scott County,4393,3,IA,170385
0500000US42007,42,7,Beaver County,3424,5,PA,170115
0500000US55139,55,139,Winnebago County,3471,2,WI,169541
0500000US10001,10,1,Kent County,3157,3,DE,169416
0500000US31153,31,153,Sarpy County,3335,3,NE,169331
0500000US47165,47,165,Sumner County,2933,3,TN,168888
0500000US39089,39,89,Licking County,2885,1,OH,168375
0500000US28033,28,33,DeSoto County,2609,2,MS,168240
0500000US55059,55,59,Kenosha County,3018,1,WI,167757
0500000US24013,24,13,Carroll County,4251,2,MD,167564
0500000US42089,42,89,Monroe County,3351,4,PA,167148
0500000US18127,18,127,Porter County,3442,3,IN,166557
0500000US41017,41,17,Deschutes County,6075,42,OR,165954
0500000US09007,9,7,Middlesex County,4141,12,CT,165562
0500000US44003,44,3,Kent County,4629,13,RI,165035
0500000US12015,12,15,Charlotte County,3688,1,FL,164736
0500000US37097,37,97,Iredell County,4350,5,NC,164517
0500000US45003,45,3,Aiken County,2665,4,SC,164176
0500000US39133,39,133,Portage County,2966,5,OH,163862
0500000US37057,37,57,Davidson County,2749,2,NC,163420
0500000US39057,39,57,Greene County,3014,3,OH,163204
0500000US21117,21,117,Kenton County,3009,11,KY,163145
0500000US38017,38,17,Cass County,5168,14,ND,162829
0500000US08101,8,101,Pueblo County,3029,5,CO,161451
0500000US12113,12,113,Santa Rosa County,2468,1,FL,161096
0500000US55105,55,105,Rock County,3194,4,WI,160739
0500000US26147,26,147,St. Clair County,3066,2,MI,160469
0500000US20209,20,209,Wyandotte County,3037,27,KS,160384
0500000US26075,26,75,Jackson County,2945,2,MI,160369
0500000US15009,15,9,Maui County,4399,7,HI,160202
0500000US36083,36,83,Rensselaer County,2978,27,NY,159918
0500000US25015,25,15,Hampshire County,3555,16,MA,159596
0500000US50007,50,7,Chittenden County,5510,73,VT,159515
0500000US34011,34,11,Cumberland County,2892,1,NJ,157332
0500000US47163,47,163,Sullivan County,3289,2,TN,156595
0500000US22073,22,73,Ouachita Parish,4174,1,LA,156220
0500000US48139,48,139,Ellis County,2609,7,TX,155976
0500000US42027,42,27,Centre County,3250,11,PA,155403
0500000US36093,36,93,Schenectady County,3060,10,NY,155333
0500000US26021,26,21,Berrien County,3604,3,MI,155252
0500000US37035,37,35,Catawba County,4038,1,NC,154810
0500000US13021,13,21,Bibb County,4051,11,GA,154721
0500000US48251,48,251,Johnson County,2628,2,TX,154707
0500000US37001,37,1,Alamance County,3155,0,NC,154378
0500000US30111,30,111,Yellowstone County,5516,1,MT,154162
0500000US18063,18,63,Hendricks County,2943,5,IN,153879
0500000US23019,23,19,Penobscot County,4097,9,ME,153364
0500000US24017,24,17,Charles County,2620,2,MD,152864
0500000US06039,6,39,Madera County,1880,0,CA,152389
