geo_id,company_count,tot_pop,companies_per_capita
0500000US35017,1,29399,3.40148E-05
0500000US39045,5,146351,3.41644E-05
0500000US18063,5,145867,3.42778E-05
0500000US56033,1,29152,3.4303E-05
0500000US54107,3,86990,3.44867E-05
0500000US40131,3,86988,3.44875E-05
0500000US50017,1,28928,3.45686E-05
0500000US23017,2,57752,3.46308E-05
0500000US30047,1,28766,3.47633E-05
0500000US08035,10,287003,3.48428E-05
0500000US27021,1,28587,3.49809E-05
0500000US56029,1,28271,3.53719E-05
0500000US54049,2,56482,3.54095E-05
0500000US39025,7,197604,3.54244E-05
0500000US39069,1,28186,3.54786E-05
0500000US48363,1,28112,3.5572E-05
0500000US49039,1,27886,3.58603E-05
0500000US20169,2,55733,3.58854E-05
0500000US26111,3,83592,3.58886E-05
0500000US22055,8,222051,3.60278E-05
0500000US47077,1,27752,3.60334E-05
0500000US55029,1,27730,3.6062E-05
0500000US39023,5,138193,3.61813E-05
0500000US12073,10,276058,3.62243E-05
0500000US18067,3,82770,3.6245E-05
0500000US51191,2,54877,3.64451E-05
0500000US36019,3,82115,3.65341E-05
0500000US37009,1,27291,3.66421E-05
0500000US35006,1,27247,3.67013E-05
0500000US46029,1,27231,3.67229E-05
0500000US17183,3,81551,3.67868E-05
0500000US45051,10,270430,3.69781E-05
0500000US54037,2,53659,3.72724E-05
0500000US13127,3,79816,3.75864E-05
0500000US39145,3,79506,3.7733E-05
0500000US39099,9,238310,3.77659E-05
0500000US13207,1,26467,3.77829E-05
0500000US19015,1,26281,3.80503E-05
0500000US22099,2,52214,3.83039E-05
0500000US27095,1,26088,3.83318E-05
0500000US20059,1,26035,3.84098E-05
0500000US18129,1,25903,3.86056E-05
0500000US26093,7,180972,3.868E-05
0500000US08083,1,25539,3.91558E-05
0500000US01101,9,229844,3.9157E-05
0500000US36107,2,51049,3.9178E-05
0500000US05035,2,50937,3.92642E-05
0500000US13039,2,50697,3.94501E-05
0500000US41065,1,25266,3.95789E-05
0500000US28117,1,25189,3.96999E-05
