geo_id,state_code,county_code,county_name,cbp_small_biz_count,crunchbase_count,state_abbv,2013_pop_est,land_area_sqmile,pop_density
0500000US18007,18,7,Benton County,188,0,IN,8767,406.418,21.57138709
0500000US47005,47,5,Benton County,308,0,TN,16290,394.142,41.33028198
0500000US26019,26,19,Benzie County,442,0,MI,17428,319.704,54.51292446
0500000US34003,34,3,Bergen County,31462,162,NJ,925328,233.009,3971.211412
0500000US45015,45,15,Berkeley County,2719,0,SC,194020,1098.857,176.5652856
0500000US54003,54,3,Berkeley County,1570,0,WV,108706,321.142,338.4982344
0500000US42011,42,11,Berks County,8224,9,PA,413521,856.506,482.799887
0500000US25003,25,3,Berkshire County,3922,23,MA,129585,926.825,139.8160386
0500000US35001,35,1,Bernalillo County,15773,137,NM,674221,1160.828,580.8104215
0500000US26021,26,21,Berrien County,3604,3,MI,155252,567.747,273.4527879
0500000US13019,13,19,Berrien County,253,0,GA,19048,451.897,42.15119817
0500000US37015,37,15,Bertie County,319,0,NC,20344,699.27,29.09319719
0500000US02050,2,50,Bethel Census Area,232,0,AK,17758,40570.004,0.437712552
0500000US48029,48,29,Bexar County,33778,188,TX,1817610,1239.82,1466.027327
0500000US01007,1,7,Bibb County,274,0,AL,22512,622.582,36.1590923
0500000US13021,13,21,Bibb County,4051,11,GA,154721,249.762,619.473739
0500000US22013,22,13,Bienville Parish,232,0,LA,13981,811.268,17.23351593
0500000US30003,30,3,Big Horn County,217,0,MT,13042,4995.462,2.610769534
0500000US56003,56,3,Big Horn County,301,0,WY,11994,3137.097,3.82327993
0500000US27011,27,11,Big Stone County,194,0,MN,5122,499.022,10.26407653
0500000US38007,38,7,Billings County,64,0,ND,874,1148.853,0.760758774
0500000US16011,16,11,Bingham County,818,0,ID,45290,2093.978,21.62868951
0500000US19013,19,13,Black Hawk County,3190,4,IA,132546,565.769,234.2758264
0500000US18009,18,9,Blackford County,232,0,IN,12481,165.08,75.6057669
0500000US37017,37,17,Bladen County,506,0,NC,34843,874.328,39.85117713
0500000US30005,30,5,Blaine County,147,0,MT,6604,4227.546,1.562135575
0500000US16013,16,13,Blaine County,1338,1,ID,21329,2643.586,8.068207352
0500000US40011,40,11,Blaine County,289,0,OK,9720,928.424,10.46935452
0500000US31009,31,9,Blaine County,8,0,NE,482,710.874,0.678038583
0500000US42013,42,13,Blair County,3208,1,PA,126314,525.8,240.2320274
0500000US48031,48,31,Blanco County,260,0,TX,10723,709.251,15.11876613
0500000US51021,51,21,Bland County,78,0,VA,6735,357.725,18.82731148
0500000US13023,13,23,Bleckley County,163,0,GA,12771,215.87,59.16060592
